timestamp,LIN_AAPL,LIN_MSFT,LIN_AMZN,LIN_FB,LIN_GOOGL,LIN_TSLA,LIN_BRK.B,LIN_NVDA,LIN_JPM,LIN_JNJ,GRAD_AAPL,GRAD_MSFT,GRAD_AMZN,GRAD_FB,GRAD_GOOGL,GRAD_TSLA,GRAD_BRK.B,GRAD_NVDA,GRAD_JPM,GRAD_JNJ,IMB_AAPL,IMB_MSFT,IMB_AMZN,IMB_FB,IMB_GOOGL,IMB_TSLA,IMB_BRK.B,IMB_NVDA,IMB_JPM,IMB_JNJ,XGB_AAPL,XGB_MSFT,XGB_AMZN,XGB_FB,XGB_GOOGL,XGB_TSLA,XGB_BRK.B,XGB_NVDA,XGB_JPM,XGB_JNJ
2021-06-04 20:00:00+00:00,10000.0,10000.0,10000.0,10000,10000.0,9999.999999999998,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 21:00:00+00:00,10000.0,10000.0,10000.0,10000,10000.0,9997.165012924206,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10002.1840532909,10000.0,9999.958228905596,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 22:00:00+00:00,10000.0,10000.0,10000.0,10000,10000.0,9992.495622446428,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10001.197031362222,9999.937598477403,10000.0,9993.7343358396,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 23:00:00+00:00,10000.0,10000.0,10000.0,10000,10000.0,10005.836738097223,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10004.763795156809,10000.0,10003.026492731737,10000.0,10000.0,10000.0,10000.0,10000.0,9987.388144856166,10000.0,10000.0,10010.773282259996,10002.964072323364,10000.0,9993.7343358396,10013.351134846462,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 08:00:00+00:00,10000.0,10000.0,10000.0,10000,10000.0,9858.91770199283,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,9953.156014291384,9964.9248674718,10003.026492731737,10000.0,10000.0,10000.0,10000.0,10000.0,9987.388144856166,10000.0,10000.0,9975.660362301493,10002.964072323364,10000.0,9993.7343358396,9866.3217623498,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 09:00:00+00:00,10000.0,10000.0,9965.68933250156,10000,10000.0,9855.749187025764,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,9940.452560539896,9947.78588225916,9968.705441134716,10000.0,10000.0,10000.0,10000.0,9977.555396711936,9987.388144856166,10031.330963427126,10000.0,9958.502912776315,9968.643234894933,9986.930488435002,9993.7343358396,9863.150867823764,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 10:00:00+00:00,10000.0,10000.0,9965.68933250156,10000,10000.0,9900.775452347203,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,9952.362048431916,9947.78588225916,9968.705441134716,10000.0,10000.0,10000.0,10000.0,10006.004288777698,9987.388144856166,10031.330963427126,10000.0,9958.502912776315,9968.643234894933,9972.341266222911,9958.228905597329,9908.210947930576,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 11:00:00+00:00,10000.0,10000.0,10006.238303181532,10000,10000.0,9950.137580255148,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10015.87931718936,9975.686555861135,10009.266683931197,10057.60438890582,9999.999999999998,10000.0,10000.0,10059.328091493924,10029.427662002285,10019.883111405676,10000.0,9986.433644561488,10009.20422458308,10029.78632868302,9987.468671679198,9957.610146862482,10000.0,10000.0,10029.427662002285,10000.0
2021-06-07 12:00:00+00:00,10000.0,10000.0,10003.119151590769,10000,10000.0,9935.795880930542,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0,10031.75863437872,9971.30216429511,10006.146588331469,10050.28954587016,10006.273525721455,10000.0,10000.0,10082.916368834882,10038.436129962163,10007.83274085678,10015.854141894568,9982.044529566674,10006.08414845322,10022.491717576971,9993.7343358396,9943.257676902536,10000.0,10023.449157962055,10038.436129962163,10000.0
2021-06-07 13:00:00+00:00,10000.0,10000.0,9984.942607610728,10000,10000.0,9816.22613191028,10000,10000.0,10000.0,10000,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9992.264284701549,10000.0,10000.0,9942.8344581183,10048.626888277731,9987.964543233604,10063.395306309052,9993.475533249686,10000.0,10000.0,10075.11651179414,9964.566692691127,9986.142073868772,9927.070947284978,10059.45255765701,9987.90221681409,10035.561229141971,9980.952380952382,9823.59813084112,10000.0,10015.695303062605,9964.566692691127,10000.0
