timestamp,btc,eth
2021-06-06 20:00:00,36700.1,2793.81
2021-06-06 21:00:00,36660.9,2786.46
2021-06-06 22:00:00,36399.4,2766.85
2021-06-06 23:00:00,36287.2,2769.64
2021-06-07 00:00:00,36317.3,2786.37
2021-06-07 01:00:00,36099.9,2763.01
2021-06-07 02:00:00,36157.1,2765.98
2021-06-07 03:00:00,36116.3,2759.8
2021-06-07 04:00:00,36315.9,2789.91
2021-06-07 05:00:00,36534.2,2828.32
2021-06-07 06:00:00,36388.0,2813.61
2021-06-07 07:00:00,36633.8,2832.84
2021-06-07 08:00:00,36328.5,2791.71
2021-06-07 09:00:00,36073.9,2778.73
2021-06-07 10:00:00,36018.0,2783.02
2021-06-07 11:00:00,35802.7,2764.77
2021-06-07 12:00:00,35731.6,2727.0
2021-06-07 13:00:00,35515.6,2686.22
2021-06-07 14:00:00,35666.7,2734.0
2021-06-07 15:00:00,34447.0,2656.23
2021-06-07 16:00:00,34122.4,2614.6
2021-06-07 17:00:00,34172.5,2628.0
2021-06-07 18:00:00,33587.6,2593.69
2021-06-07 19:00:00,33677.8,2590.41
2021-06-07 20:00:00,33797.9,2608.76
2021-06-07 21:00:00,32723.9,2483.85
2021-06-07 22:00:00,32838.4,2492.59
2021-06-07 23:00:00,32861.5,2502.12
2021-06-08 00:00:00,32932.5,2507.96
2021-06-08 01:00:00,32603.6,2473.38
2021-06-08 02:00:00,32974.5,2516.48
2021-06-08 03:00:00,32933.5,2522.04
2021-06-08 04:00:00,32839.7,2496.27
2021-06-08 05:00:00,32821.9,2494.16
2021-06-08 06:00:00,33145.3,2536.0
2021-06-08 07:00:00,32928.2,2503.49
2021-06-08 08:00:00,32380.3,2438.48
2021-06-08 09:00:00,31758.5,2382.28
2021-06-08 10:00:00,31741.5,2375.23
2021-06-08 11:00:00,32195.2,2409.51
2021-06-08 12:00:00,32193.4,2424.0
2021-06-08 13:00:00,32779.8,2487.75
2021-06-08 14:00:00,32915.3,2505.03
2021-06-08 15:00:00,33620.7,2537.81
2021-06-08 16:00:00,33500.0,2520.58
2021-06-08 17:00:00,33461.2,2521.88
2021-06-08 18:00:00,33420.0,2509.56
2021-06-08 19:00:00,32916.9,2454.53
2021-06-08 20:00:00,32522.3,2430.49
2021-06-08 21:00:00,32861.8,2451.23
2021-06-08 22:00:00,32936.3,2457.54
2021-06-08 23:00:00,32989.7,2460.13
2021-06-09 00:00:00,33511.8,2476.5
2021-06-09 01:00:00,34252.8,2535.98
2021-06-09 02:00:00,34193.8,2504.67
2021-06-09 03:00:00,34058.0,2482.7
2021-06-09 04:00:00,34031.9,2480.12
2021-06-09 05:00:00,34516.4,2499.38
2021-06-09 06:00:00,35016.5,2540.0
2021-06-09 07:00:00,34925.0,2545.57
2021-06-09 08:00:00,35080.2,2527.81
2021-06-09 09:00:00,34660.6,2459.66
2021-06-09 10:00:00,36374.3,2567.62
2021-06-09 11:00:00,36524.6,2600.0
2021-06-09 12:00:00,36578.9,2592.67
2021-06-09 13:00:00,35918.5,2562.39
2021-06-09 14:00:00,36281.7,2564.31
2021-06-09 15:00:00,36410.6,2563.27
2021-06-09 16:00:00,36676.4,2581.9
2021-06-09 17:00:00,37103.9,2600.01
2021-06-09 18:00:00,37396.4,2608.1
2021-06-09 19:00:00,36975.9,2579.0
2021-06-09 20:00:00,36904.2,2573.01
2021-06-09 21:00:00,37108.0,2570.02
2021-06-09 22:00:00,37000.0,2563.87
2021-06-09 23:00:00,36799.9,2548.29
2021-06-10 00:00:00,36840.0,2537.42
2021-06-10 01:00:00,36738.2,2539.89
2021-06-10 02:00:00,36997.3,2549.43
2021-06-10 03:00:00,36416.0,2512.56
2021-06-10 04:00:00,37457.5,2566.59
2021-06-10 05:00:00,37860.4,2576.86
2021-06-10 06:00:00,37845.0,2567.43
2021-06-10 07:00:00,37790.1,2558.41
2021-06-10 08:00:00,37850.0,2548.27
2021-06-10 09:00:00,37021.7,2520.0
2021-06-10 10:00:00,36918.0,2512.72
2021-06-10 11:00:00,36818.3,2480.54
2021-06-10 12:00:00,36483.4,2469.41
2021-06-10 13:00:00,36803.0,2475.87
2021-06-10 14:00:00,36682.9,2460.0
2021-06-10 15:00:00,36474.3,2468.9
2021-06-10 16:00:00,36721.2,2484.64
2021-06-10 17:00:00,36865.3,2490.97
2021-06-10 18:00:00,36678.4,2470.57
2021-06-10 19:00:00,36426.1,2438.02
2021-06-10 20:00:00,36306.1,2427.19
2021-06-10 21:00:00,36361.6,2436.88
2021-06-10 22:00:00,36779.2,2466.57
2021-06-10 23:00:00,37045.1,2477.41
2021-06-11 00:00:00,37001.7,2466.2
2021-06-11 01:00:00,36521.0,2430.63
2021-06-11 02:00:00,37200.0,2449.45
2021-06-11 03:00:00,37021.9,2443.56
2021-06-11 04:00:00,37050.0,2457.72
2021-06-11 05:00:00,37498.8,2474.89
2021-06-11 06:00:00,37404.5,2474.65
2021-06-11 07:00:00,37338.3,2459.56
2021-06-11 08:00:00,37447.0,2474.81
2021-06-11 09:00:00,37261.8,2447.94
2021-06-11 10:00:00,36824.8,2419.0
2021-06-11 11:00:00,36682.2,2376.98
2021-06-11 12:00:00,36925.5,2404.17
2021-06-11 13:00:00,37166.5,2415.04
2021-06-11 14:00:00,37270.0,2400.82
2021-06-11 15:00:00,37157.8,2383.54
2021-06-11 16:00:00,36935.6,2343.81
2021-06-11 17:00:00,37366.3,2360.78
2021-06-11 18:00:00,37322.2,2356.79
2021-06-11 19:00:00,37057.7,2340.66
2021-06-11 20:00:00,36239.7,2291.19
2021-06-11 21:00:00,35533.3,2267.1
2021-06-11 22:00:00,35588.8,2301.97
2021-06-11 23:00:00,35248.3,2283.96
2021-06-12 00:00:00,35174.2,2290.83
2021-06-12 01:00:00,35342.6,2299.4
2021-06-12 02:00:00,35289.9,2323.53
2021-06-12 03:00:00,35206.4,2309.11
2021-06-12 04:00:00,35260.8,2328.28
2021-06-12 05:00:00,35688.9,2395.2
2021-06-12 06:00:00,35625.8,2390.33
2021-06-12 07:00:00,36053.8,2438.98
2021-06-12 08:00:00,36010.0,2435.76
2021-06-12 09:00:00,35700.1,2421.84
2021-06-12 10:00:00,35418.4,2393.67
2021-06-12 11:00:00,35528.0,2392.61
2021-06-12 12:00:00,35768.8,2414.26
2021-06-12 13:00:00,35929.3,2423.61
2021-06-12 14:00:00,35740.4,2410.21
2021-06-12 15:00:00,36012.8,2403.58
2021-06-12 16:00:00,35845.4,2404.39
2021-06-12 17:00:00,35705.9,2382.14
2021-06-12 18:00:00,35544.9,2367.75
2021-06-12 19:00:00,35750.0,2389.6
2021-06-12 20:00:00,35800.0,2411.55
2021-06-12 21:00:00,35475.6,2382.1
2021-06-12 22:00:00,34868.8,2335.79
2021-06-12 23:00:00,35194.3,2340.34
2021-06-13 00:00:00,34979.9,2316.34
2021-06-13 01:00:00,35394.9,2344.86
