timestamp,LIN_btc,LIN_eth,GRAD_btc,GRAD_eth,IMB_btc,IMB_eth,XGB_btc,XGB_eth
2021-06-04 07:00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 08:00:00,10000.0,10000.0,9962.286454845416,10000.0,9962.286454845416,10035.042092092282,10000.0,10000.0
2021-06-04 09:00:00,10000.0,10000.0,9961.28329081183,10000.0,9961.28329081183,10006.0860591444,10000.0,10000.0
2021-06-04 10:00:00,10000.0,10000.0,10028.251268189126,10000.0,10028.251268189126,10065.58579264305,10000.0,10000.0
2021-06-04 11:00:00,10000.0,10000.0,10009.435164424009,10000.0,10009.435164424009,10075.981235281,10000.0,10000.0
2021-06-04 12:00:00,10000.0,10000.0,10061.92504466791,10000.0,10061.92504466791,10175.85308782448,10000.0,10000.0
2021-06-04 13:00:00,10000.0,10000.0,10069.787681687918,10051.413308765896,10069.787681687918,10228.170515500551,10000.0,10000.0
2021-06-04 14:00:00,10000.0,10000.0,9988.395832260128,9975.147757540184,9988.395832260128,10150.563811007072,10000.0,10000.0
2021-06-04 15:00:00,10000.0,10000.0,10047.501172617418,10038.337091507516,10047.501172617418,10214.864348923978,10059.174006867444,10000.0
2021-06-04 16:00:00,10000.0,10000.0,10091.748840261038,10152.53110245142,10091.748840261038,10331.066496811434,10103.47307989848,10000.0
2021-06-04 17:00:00,10000.0,10000.0,10071.441546716263,10096.957179103314,10071.441546716263,10274.515288861,10083.142194052742,9945.2610164034
2021-06-04 18:00:00,10000.0,10000.0,9990.347935244405,10002.154603980072,9990.347935244405,10178.045581180846,10001.954370869016,9851.882750268023
2021-06-04 19:00:00,10000.0,10282.080899093406,10216.43941838176,10284.296280336268,10216.43941838176,10465.148806036164,10228.308519156906,10129.785544663864
2021-06-04 20:00:00,10000.0,10254.634186199391,10225.82035772287,10256.843653762571,10225.82035772287,10437.213416547278,10237.700356944124,10102.745364932656
2021-06-04 21:00:00,10000.0,10267.930428710972,10217.903495619968,10270.142761087853,10217.903495619968,10450.746392781406,10229.774297308668,10115.844667156976
2021-06-04 22:00:00,10000.0,10261.87655293056,10142.801755808185,10264.087580936955,10142.801755808185,10444.584730417822,10154.58530693123,10109.880459719649
2021-06-04 23:00:00,10000.0,10348.63639233572,10221.129888052315,10350.866113651646,10221.129888052315,10532.889290425988,10233.004438050515,10195.35523624482
2021-06-05 00:00:00,10000.0,10290.28891472206,10194.61382251588,10292.506064467238,10194.61382251588,10473.502961756112,10206.457567079708,10137.871985422453
2021-06-05 01:00:00,10000.0,10326.426467693474,10232.273142587566,10328.651403650198,10232.273142587566,10510.283927889652,10244.160638427817,10173.47427889805
2021-06-05 02:00:00,10000.0,10334.411641268864,10195.616986549468,10336.638297714264,10195.616986549468,10518.411273952046,10207.461896554065,10181.341178278575
2021-06-05 03:00:00,10000.0,10437.513231246914,10245.314275024197,10439.762102001923,10245.314275024197,10623.348542180927,10257.21692159444,10282.915655861572
2021-06-05 04:00:00,10000.0,10062.878599363416,9868.965087180375,10065.046751191534,9868.965087180375,10242.043706221011,9880.43050447198,9913.830009110969
2021-06-05 05:00:00,10000.0,10067.40972111317,9892.037859952878,10069.578849218584,9892.037859952878,10246.6555025913,9903.53008238216,9918.294017131546
2021-06-05 06:00:00,10000.0,9812.47841217609,9730.636900711164,9814.592612680215,9730.636900711164,9987.185254348133,9741.94161317029,9667.1386806295
2021-06-05 07:00:00,10000.0,9818.79227035198,9774.179642277128,9820.9078312425,9774.179642277128,9993.61152797886,9785.534941165291,9673.359019674566
2021-06-05 08:00:00,10000.0,9718.513346381971,9691.025477655196,9720.607301135624,9691.025477655196,9891.547182079014,9702.284170953162,9574.565399547011
2021-06-05 09:00:00,10000.0,9646.943906941158,9666.16327714711,9649.022441314904,9666.16327714711,9818.703480394195,9702.284170953162,9504.05602695968
2021-06-05 10:00:00,10000.0,9852.255718684191,9844.07577413084,9854.37848962261,9844.07577413084,10027.670778221738,9702.284170953162,9706.32681661343
2021-06-05 11:00:00,10000.0,9852.255718684191,9778.436311284511,9763.847974115037,9778.436311284511,9935.548255644726,9702.284170953162,9617.156426890891
2021-06-05 12:00:00,10000.0,9852.255718684191,9760.514921387186,9728.928530300049,9760.514921387186,9900.014742627742,9702.284170953162,9582.761610994634
2021-06-05 13:00:00,10000.0,9852.255718684191,9767.699744870984,9742.116192591877,9767.699744870984,9913.434314033091,9702.284170953162,9595.751142529922
2021-06-05 14:00:00,10000.0,9852.255718684191,9701.490918654245,9672.017266550516,9701.490918654245,9842.102676731976,9702.284170953162,9526.705379129666
2021-06-05 15:00:00,10000.0,9852.255718684191,9716.728166948184,9776.366966206151,9716.728166948184,9948.287398077411,9702.284170953162,9629.487334292
2021-06-05 16:00:00,10000.0,9852.255718684191,9485.973326681724,9524.612635637894,9485.973326681724,9692.105889868792,9702.284170953162,9381.51534777184
2021-06-05 17:00:00,10000.0,9852.255718684191,9506.172170060703,9564.547105958223,9506.172170060703,9732.742620180768,9702.284170953162,9420.849844674476
2021-06-05 18:00:00,10000.0,9852.255718684191,9634.333153486808,9761.87911185738,9634.333153486808,9933.544770336322,9702.284170953162,9615.21714471802
2021-06-05 19:00:00,10000.0,9852.255718684191,9648.052099459646,9771.500533078744,9648.052099459646,9943.33538722079,9702.284170953162,9624.69401420433
2021-06-05 20:00:00,10000.0,9852.255718684191,9825.015657492686,9981.945904580763,9825.015657492686,10157.481505562508,9702.284170953162,9831.977665323808
