timestamp,IMB_btc,IMB_eth
2021-06-04 07:00:00,10000.0,10000.0
2021-06-04 08:00:00,9962.286454845416,10035.042092092282
2021-06-04 09:00:00,9961.28329081183,10006.0860591444
2021-06-04 10:00:00,10028.251268189126,10065.58579264305
2021-06-04 11:00:00,10009.435164424007,10075.981235280999
2021-06-04 12:00:00,10061.92504466791,10175.85308782448
2021-06-04 13:00:00,10069.787681687918,10228.170515500551
2021-06-04 14:00:00,9988.395832260128,10150.563811007072
2021-06-04 15:00:00,10047.501172617418,10214.864348923978
2021-06-04 16:00:00,10091.748840261038,10331.066496811434
2021-06-04 17:00:00,10071.441546716265,10274.515288861001
2021-06-04 18:00:00,9990.347935244405,10178.045581180846
2021-06-04 19:00:00,10216.43941838176,10465.148806036163
2021-06-04 20:00:00,10225.82035772287,10437.213416547278
2021-06-04 21:00:00,10217.903495619968,10450.746392781406
2021-06-04 22:00:00,10142.801755808185,10444.584730417822
2021-06-04 23:00:00,10221.129888052317,10532.889290425988
2021-06-05 00:00:00,10194.613822515881,10473.502961756112
2021-06-05 01:00:00,10232.273142587566,10510.283927889652
2021-06-05 02:00:00,10195.616986549468,10518.411273952046
2021-06-05 03:00:00,10245.314275024197,10623.348542180927
2021-06-05 04:00:00,9868.965087180377,10242.043706221011
2021-06-05 05:00:00,9892.037859952878,10246.6555025913
2021-06-05 06:00:00,9730.636900711163,9987.185254348131
2021-06-05 07:00:00,9774.179642277128,9993.611527978861
2021-06-05 08:00:00,9691.025477655197,9891.547182079014
2021-06-05 09:00:00,9666.16327714711,9818.703480394195
2021-06-05 10:00:00,9844.075774130839,10027.670778221738
2021-06-05 11:00:00,9778.436311284511,9935.548255644726
2021-06-05 12:00:00,9760.514921387186,9900.014742627742
2021-06-05 13:00:00,9767.699744870984,9913.434314033091
2021-06-05 14:00:00,9701.490918654243,9842.102676731976
2021-06-05 15:00:00,9716.728166948185,9948.287398077411
2021-06-05 16:00:00,9485.973326681724,9692.105889868792
2021-06-05 17:00:00,9506.172170060705,9732.742620180768
2021-06-05 18:00:00,9634.333153486808,9933.544770336322
2021-06-05 19:00:00,9648.052099459646,9943.33538722079
2021-06-05 20:00:00,9825.015657492686,10157.481505562508
2021-06-05 21:00:00,9805.575965274256,10141.604829533642
2021-06-05 22:00:00,9766.045879842639,10112.80000302413
2021-06-05 23:00:00,9787.627462835484,10138.353891108683
2021-06-06 00:00:00,9822.602641303787,10191.238342928644
2021-06-06 01:00:00,9730.8266885013,10078.589546342884
2021-06-06 02:00:00,9809.561508867157,10170.03163994723
2021-06-06 03:00:00,9860.912662370234,10346.300545477226
2021-06-06 04:00:00,9821.491027104408,10300.560597870259
2021-06-06 05:00:00,9767.320169290708,10279.316093279254
2021-06-06 06:00:00,9735.978071376476,10173.963007344853
2021-06-06 07:00:00,9721.554199325983,10172.526546180337
2021-06-06 08:00:00,9663.099559963452,10063.01528319076
2021-06-06 09:00:00,9794.324260573212,10235.693035809465
2021-06-06 10:00:00,9813.547052460057,10288.577487629424
2021-06-06 11:00:00,9831.522667440278,10300.863010746998
2021-06-06 12:00:00,9772.037751502712,10183.791425838914
2021-06-06 13:00:00,9725.24150496295,10165.608851624902
2021-06-06 14:00:00,9699.511703128515,10118.999466997306
2021-06-06 15:00:00,9758.888168900288,10249.03700399563
2021-06-06 16:00:00,9748.070264862417,10268.54263454538
2021-06-06 17:00:00,9642.92782912592,10195.547726422192
2021-06-06 18:00:00,9703.307458931278,10251.909926324664
2021-06-06 19:00:00,9842.693034516977,10450.179368637517
2021-06-06 20:00:00,9950.329824066717,10561.051489572426
2021-06-06 21:00:00,9939.701707818986,10533.267306521913
2021-06-06 22:00:00,9868.802411931687,10459.138350110949
2021-06-06 23:00:00,9838.382140426696,10469.684999187266
2021-06-07 00:00:00,9846.543015402636,10532.92709203558
2021-06-07 01:00:00,9787.600350294037,10444.622532027415
2021-06-07 02:00:00,9803.10872400246,10455.849610076399
2021-06-07 03:00:00,9792.046807091558,10432.48821534821
2021-06-07 04:00:00,9846.16343982236,10546.308861831338
2021-06-07 05:00:00,9905.350117803991,10691.50484427627
2021-06-07 06:00:00,9865.71158220658,10635.89867656565
2021-06-07 07:00:00,9932.354209086498,10708.591171812097
2021-06-07 08:00:00,9849.579620044844,10553.113151557995
2021-06-07 09:00:00,9780.55108951748,10504.046662306882
2021-06-07 10:00:00,9765.395178847879,10520.26355282208
2021-06-07 11:00:00,9707.021877109693,10451.2756153157
2021-06-07 12:00:00,9687.744860139954,10308.49893588469
2021-06-07 13:00:00,9629.18177061163,10154.343971966326
2021-06-07 14:00:00,9670.148820740009,10334.960062599466
2021-06-07 15:00:00,9339.457152695122,10040.97694479831
2021-06-07 16:00:00,9251.449843153949,9883.608844064582
2021-06-07 17:00:00,9265.033226419544,9934.26300091858
2021-06-07 18:00:00,9106.451971488452,9804.565678406587
2021-06-07 19:00:00,9130.907483874817,9792.166750460236
2021-06-07 20:00:00,9163.469646154223,9861.532704062542
2021-06-07 21:00:00,8872.280950999504,9389.352798642167
2021-06-07 22:00:00,8903.324810957805,9422.391405426044
2021-06-07 23:00:00,8909.587808032362,9458.41633936773
2021-06-08 00:00:00,8928.837712460652,9480.492479369772
2021-06-08 01:00:00,8839.664563637201,9349.774513398781
2021-06-08 02:00:00,8940.224979868937,9512.699450742613
2021-06-08 03:00:00,8929.108837875136,9533.717145676064
2021-06-08 04:00:00,8903.67727399663,9436.302397756097
2021-06-08 05:00:00,8898.851241618837,9428.326258132072
2021-06-08 06:00:00,8986.53320066263,9586.488192667244
