timestamp,IMB_AAPL,IMB_MSFT,IMB_AMZN,IMB_FB,IMB_GOOGL,IMB_TSLA,IMB_BRK.B,IMB_NVDA,IMB_JPM,IMB_JNJ
2021-06-04 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 21:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 22:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 23:00:00+00:00,10004.763795156809,10000.0,10003.026492731737,10000.0,10000.0,10000.0,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 08:00:00+00:00,9953.156014291384,9964.9248674718,10003.026492731737,10000.0,10000.0,10000.0,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 09:00:00+00:00,9940.452560539896,9947.785882259159,9968.705441134716,10000.0,10000.0,10000.0,10000.0,9977.555396711936,9987.388144856166,10031.330963427126
2021-06-07 10:00:00+00:00,9952.362048431916,9947.785882259159,9968.705441134716,10000.0,10000.0,10000.0,10000.0,10006.004288777698,9987.388144856166,10031.330963427126
2021-06-07 11:00:00+00:00,10015.87931718936,9975.686555861135,10009.266683931195,10057.60438890582,9999.999999999998,10000.0,10000.0,10059.328091493924,10029.427662002283,10019.883111405676
2021-06-07 12:00:00+00:00,10031.75863437872,9971.30216429511,10006.146588331467,10050.28954587016,10006.273525721455,10000.0,10000.0,10082.916368834882,10038.436129962165,10007.83274085678
2021-06-07 13:00:00+00:00,9942.834458118301,10048.626888277733,9987.964543233604,10063.395306309052,9993.475533249686,10000.0,10000.0,10075.11651179414,9964.566692691129,9986.142073868772
2021-06-07 14:00:00+00:00,9932.512901945214,10082.107696600104,9998.252746464152,10135.629381286193,9986.072772898367,9932.555255423611,10000.0,9992.423159399572,9924.328869136989,9988.55214797855
2021-06-07 15:00:00+00:00,9924.97022628027,10060.157838096378,9963.994096779124,10213.044803413592,9996.17314930991,9989.77116354926,10000.0,9925.661186561829,9942.946369587413,9953.606073386756
2021-06-07 16:00:00+00:00,9951.171099642714,10055.801347203955,9958.931741668564,10244.437671441632,10030.489335006272,10013.081222499703,10000.0,9988.062902072908,9953.756531139272,9942.766765078026
2021-06-07 17:00:00+00:00,9926.16117506947,10055.801347203955,9915.289404467354,10238.341968911916,9963.23713927227,10013.71149958378,10000.0,9968.406004288778,9949.25229715933,9951.798517804422
2021-06-07 18:00:00+00:00,9941.310043668122,10072.936346606084,9961.903632727308,10276.744894849131,10034.96445002091,10229.346108761021,10000.0,10031.665475339529,9942.345805056755,9948.183406639755
2021-06-07 19:00:00+00:00,9996.03017070266,10118.378572282676,9978.065727933905,10258.762572386466,10051.066499372646,10280.311910707916,10000.0,10072.623302358828,9948.351450363343,9931.915406398746
2021-06-07 20:00:00+00:00,10003.969829297339,10143.887759575911,9987.426014733092,10271.258762572386,10047.260560434965,10255.168781747449,10000.0,10064.47462473195,9934.538466158188,9931.915406398746
2021-06-07 21:00:00+00:00,9999.20603414053,10142.69201642154,9981.965847433565,10268.210911307528,10047.260560434965,10227.137590676657,9991.715567828789,10057.040743388134,9948.952014894001,9941.555702837863
2021-06-07 22:00:00+00:00,9993.648273124256,10149.467894296306,10018.626970730384,10272.173117951843,10058.427436219154,10201.8245757097,9981.014842940973,10037.169406719086,9945.348627710047,9931.915406398746
2021-06-07 23:00:00+00:00,10000.793965859466,10159.831001634184,10006.146588331467,10286.193233770191,10058.427436219154,10193.160389378727,9992.40593717639,10042.88777698356,9945.348627710047,9950.593480749532
2021-06-08 08:00:00+00:00,10027.78880508138,10135.916138546774,10012.168372838943,10286.193233770191,10058.427436219154,10456.483699437678,9992.40593717639,10059.328091493924,9945.348627710047,9950.593480749532
2021-06-08 09:00:00+00:00,10034.140531957124,10133.92323328949,10021.747066330112,10271.258762572386,10058.427436219154,10590.693644564497,9992.40593717639,10069.76411722659,9945.348627710047,9971.681629210098
2021-06-08 10:00:00+00:00,10042.874156411273,10131.930328032206,9998.970368452088,10278.878390734531,10058.427436219154,10558.415303331465,9975.837072833967,10007.147962830593,9912.918143054472,9971.681629210098
2021-06-08 11:00:00+00:00,10069.868995633187,10181.752959464307,10040.374037060496,10289.545870161535,10058.427436219154,10588.145354467153,9975.837072833967,9949.964260185847,9909.314755870519,9934.927999035968
2021-06-08 12:00:00+00:00,10077.808654227867,10182.948702618678,10043.587735528217,10278.573605608046,10058.427436219154,10604.28452508367,10006.21332412841,9989.992852037169,9890.697255420095,9941.555702837863
2021-06-08 13:00:00+00:00,10085.351329892814,10156.243772171072,10082.969582187998,10208.930204206034,10029.190485118886,10442.697450011043,9866.931308249916,9926.090064331665,9824.034592516968,9902.391998553954
2021-06-08 14:00:00+00:00,10094.084954346963,10131.531746980749,10160.24811000209,10202.682109113075,10019.819667458543,10247.863683468395,9967.207455988955,9956.325947105075,9892.498949012072,9805.386515635357
2021-06-08 15:00:00+00:00,10052.40174672489,10082.904858703017,10132.541661076497,10167.93660469369,10020.111204007977,10209.800723714388,9986.882982395582,9919.228020014296,9933.085099993996,9788.817256130626
2021-06-08 16:00:00+00:00,10069.472012703452,10096.655904978279,10179.26509268244,10192.01462968607,10036.499722893954,10224.589300579313,9968.933379357957,9964.974982130092,9927.932256320943,9794.54118214135
