timestamp,LIN_AAPL,LIN_MSFT,LIN_AMZN,LIN_FB,LIN_GOOGL,LIN_TSLA,LIN_BRK.B,LIN_NVDA,LIN_JPM,LIN_JNJ
2021-06-09 12:00:00+00:00,10000.0,10000.0,10212.414223331252,10000,10000.0,10064.204119069456,10000,10000.0,9901.397374629483,10000
2021-06-09 13:00:00+00:00,10000.0,10000.0,10255.396132252026,10000,10000.0,10064.204119069456,10000,10000.0,9832.133567237312,10000
2021-06-09 14:00:00+00:00,10000.0,10000.0,10250.04678727386,10000,10000.0,10064.204119069456,10000,10000.0,9908.051539531787,10000
2021-06-09 15:00:00+00:00,10000.0,10000.0,10248.7835308796,10000,10000.0,10064.204119069456,10000,10000.0,9902.002298711512,10000
2021-06-09 16:00:00+00:00,10000.0,10000.0,10267.56082345602,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 17:00:00+00:00,10000.0,10000.0,10264.6288209607,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 18:00:00+00:00,10000.0,10000.0,10260.745477230192,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 19:00:00+00:00,10000.0,10000.0,10234.404242046163,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 20:00:00+00:00,10000.0,10000.0,10227.698066126013,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 21:00:00+00:00,10000.0,10000.0,10234.404242046163,10000,10000.0,10064.204119069456,10000,10000.0,9859.052688887543,10000
2021-06-09 22:00:00+00:00,10000.0,10000.0,10230.349344978165,10000,10000.0,10064.204119069456,10000,10004.899206040434,9859.052688887543,10000
2021-06-09 23:00:00+00:00,10000.0,10000.0,10233.936369307548,10000,10000.0,10064.204119069456,10000,9995.388982550181,9859.052688887543,10000
2021-06-10 08:00:00+00:00,10000.0,10000.0,10199.625701809107,10000,10000.0,10064.204119069456,10000,9974.207121140074,9859.052688887543,10000
2021-06-10 09:00:00+00:00,10000.0,10000.0,10199.625701809107,10000,10000.0,10064.204119069456,10000,9964.120520468594,9859.052688887543,10000
2021-06-10 10:00:00+00:00,10000.0,10000.0,10192.35807860262,10000,10000.0,10064.204119069456,10000,9944.23550771625,9859.052688887543,10000
2021-06-10 11:00:00+00:00,10000.0,10000.0,10214.504054897066,10000,10000.0,10064.204119069456,10000,10000.144094295307,9859.052688887543,10000
2021-06-10 12:00:00+00:00,10000.0,10000.0,10221.459762944478,10000,10000.0,10064.204119069456,10000,10007.78109194657,9859.052688887543,10000
2021-06-10 13:00:00+00:00,10000.0,10000.0,10361.821584529007,10000,10000.0,10064.204119069456,10000,10030.403896309746,9859.052688887543,10000
2021-06-10 14:00:00+00:00,10000.0,10000.0,10375.920149719275,10000,10000.0,10064.204119069456,10000,9953.673684058847,9859.052688887543,10000
