timestamp,GRAD_AAPL,GRAD_MSFT,GRAD_AMZN,GRAD_FB,GRAD_GOOGL,GRAD_TSLA,GRAD_BRK.B,GRAD_NVDA,GRAD_JPM,GRAD_JNJ
2021-06-04 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-04 21:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-04 22:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-04 23:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 08:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 09:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 10:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 11:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 12:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,10000.0,10000.0,10000.0
2021-06-07 13:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9992.264284701547,10000.0,10000.0
2021-06-07 14:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9910.25095703956,10000.0,10000.0
2021-06-07 15:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9844.037998015028,10000.0,10000.0
2021-06-07 16:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9905.926556075428,10000.0,10000.0
2021-06-07 17:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9886.431305827307,10000.0,10000.0
2021-06-07 18:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9949.170565716717,10000.0,10000.0
2021-06-07 19:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9989.791578051894,10000.0,10000.0
2021-06-07 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9981.709910676309,10000.0,10000.0
2021-06-07 21:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9974.337161491565,10000.0,10000.0
2021-06-07 22:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000,10000.0,10000,9954.629235786191,10000.0,10000.0
2021-06-07 23:00:00+00:00,10000.0,10000.0,10000.0,10013.648636619886,10000,10000.0,10000,9960.300581312917,10000.0,10000.0
2021-06-08 08:00:00+00:00,10000.0,10000.0,10000.0,10013.648636619886,10000,10258.333333333334,10000,9976.605699702255,10000.0,10000.0
2021-06-08 09:00:00+00:00,10000.0,10000.0,10000.0,9999.10987152479,10000,10390.0,10000,9986.95590528853,10000.0,10000.0
2021-06-08 10:00:00+00:00,10000.0,10000.0,10000.0,10006.527608818207,10000,10358.333333333334,10000,9924.854671770878,10000.0,10000.0
2021-06-08 11:00:00+00:00,10000.0,10000.0,10000.0,10016.91244102899,10000,10387.5,10000,9868.141216503616,10000.0,10000.0
2021-06-08 12:00:00+00:00,10000.0,10000.0,10000.0,10006.23089932647,10000,10403.333333333334,10000,9907.8406351907,10000.0,10000.0
2021-06-08 13:00:00+00:00,10000.0,10000.0,10000.0,9938.432780464647,10000,10244.808333333334,10000,9844.463348929536,10000.0,10000.0
2021-06-08 14:00:00+00:00,10000.0,10000.0,10000.0,9932.350235884047,10000,10053.666666666668,10000,9874.4505884021,10000.0,10000.0
2021-06-08 15:00:00+00:00,10000.0,10000.0,10000.0,9898.52535382607,10000,10016.325,10000,9837.657734297463,10000.0,10000.0
2021-06-08 16:00:00+00:00,10000.0,10000.0,10000.0,9921.965403673263,10000,10030.833333333334,10000,9883.028498511272,10000.0,10000.0
2021-06-08 17:00:00+00:00,10000.0,10000.0,10000.0,9885.321781443788,10000,10015.25,10000,9868.424783779952,10000.0,10043.061023622045
2021-06-08 18:00:00+00:00,10000.0,10000.0,10000.0,9910.987152479007,10000,10063.773333333334,10000,9905.713880618177,10000.0,10058.132381889764
2021-06-08 19:00:00+00:00,10000.0,10000.0,10000.0,9900.30561077649,10000,10058.333333333334,10000,9900.609669644124,10000.0,10051.05807086614
2021-06-08 20:00:00+00:00,10000.0,10000.0,10000.0,9898.822063317806,10000,10027.666666666666,10000,9885.155253083796,10000.0,10042.445866141732
2021-06-08 21:00:00+00:00,10000.0,10000.0,10000.0,9898.228644334333,10000,10016.666666666668,10000,9885.155253083796,10000.0,10051.05807086614
2021-06-08 22:00:00+00:00,10000.0,10000.0,10000.0,9908.613476545115,10000,10021.666666666666,10000,9885.155253083796,10000.0,10051.05807086614
2021-06-08 23:00:00+00:00,10000.0,10000.0,10000.0,9905.64638162775,10000,10024.166666666668,10000,9885.155253083796,10000.0,10046.136811023622
2021-06-09 08:00:00+00:00,10000.0,10000.0,10000.0,9910.097024003799,10000,10069.166666666668,10000,9885.155253083796,10000.0,10046.136811023622
2021-06-09 09:00:00+00:00,10000.0,10000.0,10000.0,9924.93249859063,10000,10050.0,10000,9885.155253083796,10000.0,10046.136811023622
2021-06-09 10:00:00+00:00,10000.0,10000.0,10000.0,9932.943654867518,10000,10058.333333333334,10000,9885.155253083796,10000.0,10046.136811023622
2021-06-09 11:00:00+00:00,10000.0,10000.0,10000.0,9928.196302999733,10000,10074.833333333334,10000,9956.016581062891,10000.0,10058.43996062992
2021-06-09 12:00:00+00:00,10000.0,10000.0,10000.0,9939.767973177462,10000,10069.166666666668,10000,9948.930448264982,10000.0,10051.673228346457
2021-06-09 13:00:00+00:00,10000.0,10000.0,10000.0,9934.723911817939,10000,10069.166666666668,10000,9818.97360720444,10000.0,10164.247047244093
2021-06-09 14:00:00+00:00,10000.0,10000.0,10000.0,9882.50304127229,10000,10105.872367070046,10000,9816.895953068093,10000.0,10189.468503937007
2021-06-09 15:00:00+00:00,10000.0,10000.0,10000.0,9877.755689404505,10000,10001.923772355269,10000,9877.573090990034,10000.0,10155.01968503937
