timestamp,GRAD_btc,GRAD_eth
2021-06-04 07:00:00,10000.0,10000.0
2021-06-04 08:00:00,9962.286454845416,10000.0
2021-06-04 09:00:00,9961.28329081183,10000.0
2021-06-04 10:00:00,10028.251268189126,10000.0
2021-06-04 11:00:00,10009.435164424007,10000.0
2021-06-04 12:00:00,10061.92504466791,10000.0
2021-06-04 13:00:00,10069.787681687918,10051.413308765896
2021-06-04 14:00:00,9988.395832260128,9975.147757540184
2021-06-04 15:00:00,10047.501172617418,10038.337091507517
2021-06-04 16:00:00,10091.748840261038,10152.53110245142
2021-06-04 17:00:00,10071.441546716265,10096.957179103314
2021-06-04 18:00:00,9990.347935244405,10002.154603980072
2021-06-04 19:00:00,10216.43941838176,10284.296280336268
2021-06-04 20:00:00,10225.82035772287,10256.843653762571
2021-06-04 21:00:00,10217.903495619968,10270.142761087853
2021-06-04 22:00:00,10142.801755808185,10264.087580936955
2021-06-04 23:00:00,10221.129888052317,10350.866113651646
2021-06-05 00:00:00,10194.613822515881,10292.506064467238
2021-06-05 01:00:00,10232.273142587566,10328.651403650198
2021-06-05 02:00:00,10195.616986549468,10336.638297714264
2021-06-05 03:00:00,10245.314275024197,10439.762102001925
2021-06-05 04:00:00,9868.965087180377,10065.046751191534
2021-06-05 05:00:00,9892.037859952878,10069.578849218584
2021-06-05 06:00:00,9730.636900711163,9814.592612680217
2021-06-05 07:00:00,9774.179642277128,9820.9078312425
2021-06-05 08:00:00,9691.025477655197,9720.607301135624
2021-06-05 09:00:00,9666.16327714711,9649.022441314903
2021-06-05 10:00:00,9844.075774130839,9854.37848962261
2021-06-05 11:00:00,9778.436311284511,9763.847974115035
2021-06-05 12:00:00,9760.514921387186,9728.928530300047
2021-06-05 13:00:00,9767.699744870984,9742.116192591877
2021-06-05 14:00:00,9701.490918654243,9672.017266550516
2021-06-05 15:00:00,9716.728166948185,9776.366966206151
2021-06-05 16:00:00,9485.973326681724,9524.612635637894
2021-06-05 17:00:00,9506.172170060705,9564.547105958223
2021-06-05 18:00:00,9634.333153486808,9761.87911185738
2021-06-05 19:00:00,9648.052099459646,9771.500533078744
2021-06-05 20:00:00,9825.015657492686,9981.945904580763
2021-06-05 21:00:00,9805.575965274256,9966.343599897471
2021-06-05 22:00:00,9766.045879842639,9938.036561400642
2021-06-05 23:00:00,9787.627462835484,9963.148842271843
2021-06-06 00:00:00,9822.602641303787,10015.119376205
2021-06-06 01:00:00,9730.8266885013,9904.417309642595
2021-06-06 02:00:00,9809.561508867157,9994.27915494946
2021-06-06 03:00:00,9860.912662370234,10167.501885278483
2021-06-06 04:00:00,9821.491027104408,10122.55238845281
2021-06-06 05:00:00,9767.320169290708,10101.675018852786
2021-06-06 06:00:00,9735.978071376476,9998.142582775798
2021-06-06 07:00:00,9721.554199325983,9996.730945685407
2021-06-06 08:00:00,9663.099559963452,9889.112191715176
2021-06-06 09:00:00,9794.324260573212,10058.805829318217
2021-06-06 10:00:00,9813.547052460057,10110.776363251372
2021-06-06 11:00:00,9831.522667440278,10122.849575208682
2021-06-06 12:00:00,9772.037751502712,10007.801152341646
2021-06-06 13:00:00,9725.24150496295,9989.932798644828
2021-06-06 14:00:00,9699.511703128515,9944.128889896021
2021-06-06 15:00:00,9758.888168900288,10071.919194921078
2021-06-06 16:00:00,9748.070264862417,10091.087740674837
2021-06-06 17:00:00,9642.92782912592,10019.354287476179
2021-06-06 18:00:00,9703.307458931278,10074.742469101866
2021-06-06 19:00:00,9842.693034516977,10269.585535920593
2021-06-06 20:00:00,9950.329824066717,10378.541630292246
2021-06-06 21:00:00,9939.701707818986,10351.237597096486
2021-06-06 22:00:00,9868.802411931687,10351.237597096486
2021-06-06 23:00:00,9838.382140426696,10351.237597096486
2021-06-07 00:00:00,9846.543015402636,10351.237597096486
2021-06-07 01:00:00,9787.600350294037,10264.456261427436
2021-06-07 02:00:00,9803.10872400246,10275.48967610796
2021-06-07 03:00:00,9792.046807091558,10252.531257681818
2021-06-07 04:00:00,9846.16343982236,10364.388535806607
2021-06-07 05:00:00,9905.350117803991,10507.079935765865
2021-06-07 06:00:00,9865.71158220658,10452.432955984541
2021-06-07 07:00:00,9932.354209086498,10523.871529825117
2021-06-07 08:00:00,9849.579620044844,10371.075453794805
2021-06-07 09:00:00,9780.55108951748,10322.855345191027
2021-06-07 10:00:00,9765.395178847879,10338.792499729563
2021-06-07 11:00:00,9707.021877109693,10270.994581238117
2021-06-07 12:00:00,9687.744860139954,10130.680752119108
2021-06-07 13:00:00,9629.18177061163,9979.184910142056
2021-06-07 14:00:00,9670.148820740009,10156.68543318432
2021-06-07 15:00:00,9339.457152695122,9867.773426549811
2021-06-07 16:00:00,9251.449843153949,9713.119873300557
2021-06-07 17:00:00,9265.033226419544,9762.90026276825
2021-06-07 18:00:00,9106.451971488452,9635.440176004331
2021-06-07 19:00:00,9130.907483874817,9623.255125448059
2021-06-07 20:00:00,9163.469646154223,9691.424539383295
2021-06-07 21:00:00,8872.280950999504,9227.389580546771
2021-06-07 22:00:00,8903.324810957805,9259.858282333907
2021-06-07 23:00:00,8909.587808032362,9295.261798126974
2021-06-08 00:00:00,8928.837712460652,9316.957132044237
2021-06-08 01:00:00,8839.664563637201,9188.49400758209
2021-06-08 02:00:00,8940.224979868937,9348.60854385504
2021-06-08 03:00:00,8929.108837875136,9369.263690529693
2021-06-08 04:00:00,8903.67727399663,9273.529314665333
2021-06-08 05:00:00,8898.851241618837,9265.69076080139
2021-06-08 06:00:00,8986.53320066263,9421.124454482602
