timestamp,XGB_btc,XGB_eth
2021-06-04 07:00:00,10000.0,10000.0
2021-06-04 08:00:00,10000.0,10000.0
2021-06-04 09:00:00,10000.0,10000.0
2021-06-04 10:00:00,10000.0,10000.0
2021-06-04 11:00:00,10000.0,10000.0
2021-06-04 12:00:00,10000.0,10000.0
2021-06-04 13:00:00,10000.0,10000.0
2021-06-04 14:00:00,10000.0,10000.0
2021-06-04 15:00:00,10059.174006867443,10000.0
2021-06-04 16:00:00,10103.47307989848,10000.0
2021-06-04 17:00:00,10083.142194052742,9945.261016403401
2021-06-04 18:00:00,10001.954370869016,9851.882750268023
2021-06-04 19:00:00,10228.308519156906,10129.785544663864
2021-06-04 20:00:00,10237.700356944124,10102.745364932656
2021-06-04 21:00:00,10229.774297308668,10115.844667156976
2021-06-04 22:00:00,10154.58530693123,10109.880459719647
2021-06-04 23:00:00,10233.004438050515,10195.355236244819
2021-06-05 00:00:00,10206.457567079708,10137.871985422453
2021-06-05 01:00:00,10244.160638427817,10173.47427889805
2021-06-05 02:00:00,10207.461896554065,10181.341178278577
2021-06-05 03:00:00,10257.216921594441,10282.915655861572
2021-06-05 04:00:00,9880.43050447198,9913.830009110969
2021-06-05 05:00:00,9903.53008238216,9918.294017131546
2021-06-05 06:00:00,9741.94161317029,9667.1386806295
2021-06-05 07:00:00,9785.534941165293,9673.359019674566
2021-06-05 08:00:00,9702.284170953162,9574.565399547013
2021-06-05 09:00:00,9702.284170953162,9504.05602695968
2021-06-05 10:00:00,9702.284170953162,9706.32681661343
2021-06-05 11:00:00,9702.284170953162,9617.156426890893
2021-06-05 12:00:00,9702.284170953162,9582.761610994634
2021-06-05 13:00:00,9702.284170953162,9595.751142529922
2021-06-05 14:00:00,9702.284170953162,9526.705379129666
2021-06-05 15:00:00,9702.284170953162,9629.487334292
2021-06-05 16:00:00,9702.284170953162,9381.51534777184
2021-06-05 17:00:00,9702.284170953162,9420.849844674476
2021-06-05 18:00:00,9702.284170953162,9615.217144718019
2021-06-05 19:00:00,9702.284170953162,9624.69401420433
2021-06-05 20:00:00,9702.284170953162,9831.977665323808
2021-06-05 21:00:00,9702.284170953162,9816.60976885952
2021-06-05 22:00:00,9702.284170953162,9788.728013845744
2021-06-05 23:00:00,9702.284170953162,9813.463009107309
2021-06-06 00:00:00,9702.284170953162,9864.652740425254
2021-06-06 01:00:00,9702.284170953162,9755.613855988175
2021-06-06 02:00:00,9702.284170953162,9844.125621576528
2021-06-06 03:00:00,9702.284170953162,10014.745862559781
2021-06-06 04:00:00,9702.284170953162,9970.471684650767
2021-06-06 05:00:00,9702.284170953162,9949.907975572365
2021-06-06 06:00:00,9702.284170953162,9847.931005462922
2021-06-06 07:00:00,9702.284170953162,9846.540576735202
2021-06-06 08:00:00,9702.284170953162,9740.538681361304
2021-06-06 09:00:00,9702.284170953162,9907.682850525254
2021-06-06 10:00:00,9702.284170953162,9958.872581843198
2021-06-06 11:00:00,9702.284170953162,9970.76440648818
2021-06-06 12:00:00,9702.284170953162,9857.44446517891
2021-06-06 13:00:00,9702.284170953162,9839.844564704334
2021-06-06 14:00:00,9702.284170953162,9794.728811512752
2021-06-06 15:00:00,9702.284170953162,9920.59920160119
2021-06-06 16:00:00,9702.284170953162,9939.479760114455
2021-06-06 17:00:00,9702.284170953162,9868.824026608416
2021-06-06 18:00:00,9702.284170953162,9923.380059056633
2021-06-06 19:00:00,9702.284170953162,10115.295813711824
2021-06-06 20:00:00,9702.284170953162,10222.61495735409
2021-06-06 21:00:00,9702.284170953162,10195.721138541589
2021-06-06 22:00:00,9702.284170953162,10123.967698145243
2021-06-06 23:00:00,9702.284170953162,10134.176372225089
2021-06-07 00:00:00,9702.284170953162,10195.391826474497
2021-06-07 01:00:00,9702.284170953162,10109.917049949325
2021-06-07 02:00:00,9702.284170953162,10120.784348163355
2021-06-07 03:00:00,9702.284170953162,10098.171586223049
2021-06-07 04:00:00,9702.284170953162,10208.344767780109
2021-06-07 05:00:00,9702.284170953162,10348.887839968975
2021-06-07 06:00:00,9702.284170953162,10295.063612114296
2021-06-07 07:00:00,9702.284170953162,10365.42662378292
2021-06-07 08:00:00,9702.284170953162,10214.931009121947
2021-06-07 09:00:00,9702.284170953162,10167.436891001367
2021-06-07 10:00:00,9702.284170953162,10183.134099532745
2021-06-07 11:00:00,9702.284170953162,10116.356930372454
2021-06-07 12:00:00,9702.284170953162,9978.15563288291
2021-06-07 13:00:00,9702.284170953162,9828.940676260627
2021-06-07 14:00:00,9702.284170953162,10003.76879365672
2021-06-07 15:00:00,9702.284170953162,9719.206577459689
2021-06-07 16:00:00,9702.284170953162,9566.881451314872
2021-06-07 17:00:00,9702.284170953162,9615.91235908188
2021-06-07 18:00:00,9702.284170953162,9490.371281060534
2021-06-07 19:00:00,9702.284170953162,9478.369685726519
2021-06-07 20:00:00,9702.284170953162,9545.51275718358
2021-06-07 21:00:00,9702.284170953162,9088.464198289774
2021-06-07 22:00:00,9702.284170953162,9120.44405902736
2021-06-07 23:00:00,9702.284170953162,9155.314547909418
2021-06-08 00:00:00,9702.284170953162,9176.683242040712
2021-06-08 01:00:00,9605.386539014302,9050.15422781809
2021-06-08 02:00:00,9714.657842407805,9207.858117725407
2021-06-08 03:00:00,9702.578782178272,9228.202285425747
2021-06-08 04:00:00,9674.944249262902,9133.909263548449
2021-06-08 05:00:00,9669.700169455935,9126.18872508663
2021-06-08 06:00:00,9764.977439656688,9279.28224605466
2021-06-08 07:00:00,9701.017342685185,9160.32740937515
