timestamp,XGB_AAPL,XGB_MSFT,XGB_AMZN,XGB_FB,XGB_GOOGL,XGB_TSLA,XGB_BRK.B,XGB_NVDA,XGB_JPM,XGB_JNJ
2021-06-04 20:00:00+00:00,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 21:00:00+00:00,10000.0,10000.0,10002.1840532909,10000.0,9999.958228905596,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 22:00:00+00:00,10000.0,10001.197031362222,9999.937598477403,10000.0,9993.7343358396,10000.0,10000.0,10000.0,10000.0,10000.0
2021-06-04 23:00:00+00:00,10000.0,10010.773282259996,10002.964072323364,10000.0,9993.7343358396,10013.351134846462,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 08:00:00+00:00,10000.0,9975.660362301493,10002.964072323364,10000.0,9993.7343358396,9866.3217623498,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 09:00:00+00:00,10000.0,9958.502912776315,9968.643234894931,9986.930488435002,9993.7343358396,9863.150867823764,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 10:00:00+00:00,10000.0,9958.502912776315,9968.643234894931,9972.341266222913,9958.228905597327,9908.210947930575,10000.0,10000.0,9987.388144856166,10000.0
2021-06-07 11:00:00+00:00,10000.0,9986.433644561488,10009.20422458308,10029.78632868302,9987.468671679198,9957.610146862482,10000.0,10000.0,10029.427662002283,10000.0
2021-06-07 12:00:00+00:00,10015.854141894568,9982.044529566674,10006.084148453221,10022.491717576973,9993.7343358396,9943.257676902536,10000.0,10023.449157962055,10038.436129962165,10000.0
2021-06-07 13:00:00+00:00,9927.070947284978,10059.45255765701,9987.90221681409,10035.561229141973,9980.952380952382,9823.598130841121,10000.0,10015.695303062603,9964.566692691129,10000.0
2021-06-07 14:00:00+00:00,9916.765755053506,10092.969435799218,9998.190355844681,10107.59551381417,9973.558897243109,9757.343124165553,10000.0,9933.489661053081,9924.328869136989,10000.0
2021-06-07 15:00:00+00:00,9909.235037653585,10070.99593009337,9963.931919938845,10184.796814686484,9983.646616541355,9813.549732977304,10000.0,9867.121438215021,9942.946369587413,10000.0
2021-06-07 16:00:00+00:00,9935.394371779626,10066.63474583034,9958.869596418152,10216.102854016595,10017.919799498748,9836.44859813084,10000.0,9929.155119732823,9953.756531139272,10000.0
2021-06-07 17:00:00+00:00,9910.424098295678,10066.63474583034,9915.227531551769,10210.024011428226,9950.751879699248,9837.067757009345,10000.0,9909.614154764442,9949.25229715933,10000.0
2021-06-07 18:00:00+00:00,9925.548949663098,10083.788205250978,9961.841468931842,10248.320719734964,10022.389306599835,10048.898531375167,10000.0,9972.50053293541,9942.345805056755,10000.0
2021-06-07 19:00:00+00:00,9980.182322631787,10129.279387119943,9978.003463284504,10230.388134099267,10038.471177944863,10098.9652870494,10000.0,10013.21679812407,9948.351450363343,10000.0
2021-06-07 20:00:00+00:00,9988.109393579072,10154.816056180673,9987.363691674076,10242.849761405429,10034.67000835422,10074.265687583444,10000.0,10005.116179918994,9934.538466158188,10000.0
2021-06-07 21:00:00+00:00,9983.3531510107,10153.61902481845,9981.903558446826,10239.810340111242,10034.67000835422,10046.728971962617,10000.0,9997.726142258225,9948.952014894001,10000.0
2021-06-07 22:00:00+00:00,9977.8042013476,10160.402202537705,10018.564452972652,10243.761587793684,10034.67000835422,10021.86248331108,10000.0,9977.972003126555,9945.348627710047,10000.0
2021-06-07 23:00:00+00:00,9984.938565200157,10170.776474343627,10006.084148453221,10257.74292574694,10034.67000835422,10013.351134846462,10011.412761542455,9983.656647480993,9945.348627710047,10000.0
2021-06-08 08:00:00+00:00,10011.890606420926,10146.835847099195,10012.105895383846,10257.74292574694,10034.67000835422,10272.029372496661,10011.412761542455,10000.0,9945.348627710047,10000.0
2021-06-08 09:00:00+00:00,10018.232263178754,10144.840794828824,10021.68452910251,10242.849761405429,10034.67000835422,10403.871829105474,10011.412761542455,10010.37447594685,9945.348627710047,10000.0
2021-06-08 10:00:00+00:00,10026.952041220768,10142.845742558455,9998.90797335455,10250.448314640893,10034.67000835422,10372.162883845127,9994.812381117068,9948.127620265757,9912.918143054472,10000.0
2021-06-08 11:00:00+00:00,10053.904082441537,10192.722049317692,10040.311383597758,10261.086289170544,10034.67000835422,10401.368491321762,9994.812381117068,9891.281176721383,9909.314755870519,10000.0
