,actual,predicted
0,-0.014347256040456946,-0.00665472949994714
1,-0.01524387218045109,-0.007826671404565947
2,-0.01874888657203999,-0.015185007064206415
3,-0.01766830774992112,-0.009380452073939931
4,-0.029151342932714264,-0.02389231390590081
5,-0.03594628530303812,-0.02541130142844649
6,-0.027416278195488752,0.011468068375962301
7,-0.015245437980597187,0.006599847680894072
8,-0.03292889865544335,0.007776070327369326
9,-0.027149284583306454,0.010046385463532596
10,-0.02983005391516047,0.0069808187209194975
11,-0.024913417797661652,0.015015962699829886
12,-0.03713545454545464,0.022506892509281232
13,-0.1427364849280336,-0.013212882091321185
14,-0.09795213571644956,-0.00632517543948677
15,-0.07508777228283436,-0.013721653736685671
16,-0.11429944252721003,-0.026881475640310126
17,-0.0729860360528174,-0.012121595076302848
18,-0.09412213241457801,-0.018163842057431507
19,-0.10230042876686385,-0.013819309427191666
20,-0.10156372884941756,-0.014501632987863135
21,-0.10167989775877695,-0.014447693713892585
22,-0.09515529636711284,-0.03344562562050217
23,-0.10578358778625963,-0.03192090258683484
24,-0.10664510489510493,-0.02591141170390971
25,-0.09070773715090641,-0.02339115839217899
26,-0.09721739189053791,-0.016386701024242847
27,-0.08970602425274465,-0.012822858396682953
28,-0.0930788543341684,-0.016267862568515073
29,-0.08668659960263136,-0.013635537720713655
30,-0.09489358377907198,-0.01235632938901704
31,-0.10535298895032075,-0.004425599290516133
32,-0.10015708904161835,-0.0037503139776552353
33,-0.09540112403100764,-0.0025854153338168697
34,-0.0853920489273815,0.00788437259035136
35,-0.10001654821761963,0.013083657103160128
36,-0.07680404714090183,0.0108287001612546
37,0.042045755754513525,0.03698378814245423
38,-0.02556252224901434,0.02648815777708952
39,-0.060359755102040835,0.02455219367546419
40,-0.014294303438941114,0.037301219657811024
41,-0.06926951687025451,0.024953179901511458
42,-0.0482391852669708,0.03042535818265893
43,-0.05864968473875387,0.03365820519222717
44,-0.06021500642534794,0.028757246185244428
45,-0.06172604086517908,0.020394134576751228
46,-0.11338734103047343,0.024309133839158736
47,-0.09574812183638115,0.014563097759506871
48,-0.09670771073575657,0.009274532073281504
49,-0.10699139004238212,-0.00031981993364982135
50,-0.12592044972422578,0.004333451867860281
51,-0.07953332255392598,0.003945598648785291
52,-0.08232694915254235,-0.0031646724638018688
53,-0.08699788135593223,-0.000928654327215
54,-0.03483811608770693,0.0037412666494296394
55,-0.03357229595001343,0.000910360643010831
56,-0.03685422270295513,-0.005008882390044571
